ResponseID,Gender,Role,CompanySize,Industry,Region,AIStage,YearsExperience,Efficiency_1,Efficiency_2,Efficiency_3,Efficiency_4,Efficiency_5,Efficiency_6,Efficiency_7,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Experience_7,Fairness_1,Fairness_2,Fairness_3,Fairness_4,Fairness_5,Fairness_6,Fairness_7,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7
R0001,Female,Managerial,SME (<500),Financial Services,Europe,Full Deployment,25,5,4,3,3,4,4,4,4,2,3,3,3,3,4,4,2,3,4,3,4,3,2,2,3,2,3,3,3
R0002,Female,Operational,Large (>500),Other,North Africa,Early Exploration,21,4,3,4,4,3,3,5,3,4,3,2,4,4,4,2,2,3,3,2,2,3,4,2,5,2,2,2,4
R0003,Female,Managerial,Large (>500),Manufacturing,North Africa,Pilot,4,4,5,4,3,3,3,4,3,3,4,3,3,2,3,2,3,4,3,3,3,4,3,3,2,3,3,4,2
R0004,Female,Managerial,SME (<500),Manufacturing,Europe,Pilot,15,4,4,3,3,5,3,3,3,2,2,3,3,3,4,5,2,4,2,2,3,1,5,3,2,3,4,4,3
R0005,Female,Managerial,Large (>500),Logistics,Gulf,Full Deployment,10,3,3,5,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,2,3,2,4,1,2
R0006,Male,Managerial,SME (<500),Logistics,Europe,Full Deployment,5,3,3,2,4,5,4,3,3,3,2,4,4,3,3,3,4,3,3,4,1,4,3,2,2,4,3,3,3
R0007,Male,Managerial,SME (<500),Technology,Europe,Pilot,2,4,4,4,3,2,4,4,3,3,3,3,5,3,3,3,3,2,2,3,2,3,2,3,4,2,2,4,4
R0008,Female,Managerial,Large (>500),Logistics,Gulf,Early Exploration,20,2,3,4,5,4,4,3,3,3,4,4,4,5,3,3,3,3,5,4,2,3,3,3,1,1,1,2,2
R0009,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,25,3,3,3,3,4,5,4,4,5,3,4,4,3,3,3,2,3,4,2,3,3,2,4,1,1,2,2,2
R0010,Female,Managerial,SME (<500),Manufacturing,Europe,Pilot,8,3,3,3,4,5,2,4,2,3,4,4,3,3,4,4,2,2,4,3,2,4,4,2,3,2,3,3,2
R0011,Female,Managerial,Large (>500),Financial Services,North Africa,Pilot,10,5,2,3,5,2,5,2,3,5,5,4,5,3,4,2,3,2,4,2,3,2,2,2,2,4,2,2,1
R0012,Female,Operational,SME (<500),Technology,Gulf,Pilot,21,3,5,4,3,3,4,3,4,4,4,4,3,4,3,3,4,4,3,2,3,2,2,2,3,1,3,3,2
R0013,Female,Operational,SME (<500),Technology,Europe,Early Exploration,11,4,4,4,4,2,4,4,4,3,3,3,3,3,4,4,3,3,2,2,3,4,2,3,3,3,2,3,1
R0014,Male,Operational,SME (<500),Other,North Africa,Full Deployment,25,4,3,4,2,3,5,3,3,2,4,3,4,4,3,3,4,3,3,2,3,3,3,3,2,3,1,4,3
R0015,Male,Operational,Large (>500),Manufacturing,North Africa,Pilot,15,3,3,4,2,3,4,3,3,3,2,3,2,5,2,1,2,2,2,4,3,3,2,2,3,2,3,3,2
R0016,Male,Operational,Large (>500),Logistics,Europe,Early Exploration,19,5,4,4,4,4,4,4,3,4,3,3,4,5,5,2,3,2,4,4,3,3,2,2,4,4,2,3,2
R0017,Female,Managerial,Large (>500),Technology,Gulf,Pilot,23,3,3,5,3,3,4,3,4,3,5,4,3,4,3,4,2,2,3,4,3,3,1,1,3,2,2,4,1
R0018,Female,Operational,SME (<500),Financial Services,North Africa,Early Exploration,21,3,3,3,4,3,4,4,4,2,3,3,3,4,4,2,4,3,4,3,2,4,3,2,3,2,2,2,2
R0019,Male,Operational,SME (<500),Manufacturing,North Africa,Pilot,9,4,4,4,4,4,3,4,4,3,1,3,3,4,4,3,3,4,3,3,5,2,2,4,4,1,3,2,2
R0020,Male,Operational,Large (>500),Technology,North Africa,Pilot,5,4,3,4,4,4,4,3,3,4,3,3,2,4,3,2,3,1,4,4,3,2,2,2,1,3,3,2,2
R0021,Female,Managerial,Large (>500),Technology,North Africa,Pilot,24,3,3,4,5,3,3,3,2,4,2,2,2,3,4,2,1,3,3,3,4,3,1,2,3,2,1,3,2
R0022,Male,Operational,Large (>500),Other,Europe,Pilot,25,3,4,5,5,4,3,5,2,3,3,5,4,2,4,3,3,2,2,3,3,2,3,2,1,2,4,2,5
R0023,Female,Operational,Large (>500),Manufacturing,North Africa,Pilot,5,4,3,2,3,3,3,3,4,3,4,3,2,4,4,4,2,3,2,4,3,3,3,1,2,5,4,3,2
R0024,Female,Managerial,SME (<500),Manufacturing,Gulf,Early Exploration,10,3,4,3,4,4,4,3,3,4,4,4,2,3,4,3,3,3,1,2,2,4,2,2,3,3,2,4,2
R0025,Female,Operational,Large (>500),Logistics,Europe,Pilot,25,2,4,2,5,4,3,5,5,5,5,3,4,4,3,3,3,4,4,3,3,3,2,2,2,3,3,2,1
R0026,Male,Operational,Large (>500),Other,Europe,Full Deployment,22,3,3,4,4,5,3,4,3,4,4,4,3,4,4,2,3,2,4,3,3,2,2,2,1,2,2,2,2
R0027,Female,Operational,SME (<500),Other,Europe,Full Deployment,16,5,3,3,5,3,3,3,5,4,3,3,4,3,4,5,3,3,3,4,2,5,2,2,1,4,2,3,4
R0028,Female,Managerial,SME (<500),Financial Services,Gulf,Full Deployment,22,3,3,3,4,4,3,3,5,4,4,1,3,2,3,3,2,3,2,3,2,3,3,3,2,4,2,2,1
R0029,Male,Managerial,SME (<500),Technology,North Africa,Early Exploration,5,3,4,3,3,4,2,4,4,5,4,2,3,3,4,4,1,3,4,4,5,3,3,4,4,3,3,2,1
R0030,Male,Managerial,SME (<500),Technology,North Africa,Early Exploration,15,4,3,3,3,3,4,2,5,2,5,3,3,3,5,4,2,3,3,1,1,4,3,4,2,3,4,1,2
R0031,Female,Operational,Large (>500),Other,Europe,Pilot,6,4,4,4,3,4,3,3,4,3,3,3,4,3,4,4,3,2,4,2,3,2,1,4,2,2,4,5,3
R0032,Male,Operational,Large (>500),Logistics,Gulf,Pilot,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,4,1,3,1,3,2,3,2,5
R0033,Male,Managerial,Large (>500),Technology,Europe,Pilot,5,4,3,4,4,4,3,3,3,5,2,2,4,4,4,3,3,2,3,1,3,2,3,3,3,3,3,1,2
R0034,Female,Operational,Large (>500),Financial Services,North Africa,Early Exploration,11,4,3,4,4,3,3,4,1,4,4,3,4,4,4,2,5,1,2,4,4,3,3,2,3,2,2,3,4
R0035,Male,Operational,Large (>500),Manufacturing,Gulf,Early Exploration,20,3,4,4,4,4,4,3,4,4,4,3,3,3,3,2,4,1,3,3,3,3,2,5,3,3,2,1,2
R0036,Male,Operational,Large (>500),Logistics,Europe,Pilot,7,4,3,4,2,5,4,4,4,3,3,3,4,3,4,2,3,1,3,2,4,4,1,3,3,3,4,3,1
R0037,Female,Operational,SME (<500),Other,Gulf,Pilot,23,4,3,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,4,2,2,2,1,3,3,1,1,3
R0038,Female,Operational,SME (<500),Other,Europe,Full Deployment,16,5,5,3,5,3,4,4,4,3,4,4,4,3,4,2,4,3,2,3,3,3,2,2,1,4,1,2,4
R0039,Female,Operational,SME (<500),Logistics,Europe,Early Exploration,24,4,3,3,4,4,3,4,2,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,1,3,3
R0040,Female,Operational,Large (>500),Financial Services,Europe,Early Exploration,21,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,2,5,2,2,3,2,3,4,2,3,2,2,4
R0041,Male,Managerial,Large (>500),Manufacturing,Europe,Full Deployment,10,3,4,4,3,5,3,5,2,3,4,3,4,4,4,3,3,3,2,3,3,4,2,3,1,1,3,3,2
R0042,Female,Managerial,SME (<500),Technology,North Africa,Full Deployment,11,4,4,3,3,5,4,3,3,3,3,3,3,4,3,2,3,2,2,1,5,1,2,2,2,3,2,2,3
R0043,Female,Operational,Large (>500),Manufacturing,Europe,Early Exploration,23,3,3,4,3,4,4,4,3,4,3,3,2,3,3,3,2,3,3,3,3,4,2,4,2,2,4,3,3
